CustomerID,Recency,Frequency,Monetary,FirstPurchaseDate,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,Segment
16738,298,1,3.75,"2011-02-15 09:46:00","2011-02-15 09:46:00",1,1,1,111,Hibernating
14792,64,1,6.20,"2011-10-07 09:19:00","2011-10-07 09:19:00",3,2,1,321,"Needs Attention"
16454,45,2,6.90,"2011-10-06 16:57:00","2011-10-26 11:40:00",3,3,1,331,"Loyal Customers"
17956,250,1,12.75,"2011-04-04 13:47:00","2011-04-04 13:47:00",1,1,1,111,Hibernating
16878,85,1,13.30,"2011-09-16 17:39:00","2011-09-16 17:39:00",2,2,1,221,Hibernating
17763,264,1,15.00,"2011-03-21 14:25:00","2011-03-21 14:25:00",1,1,1,111,Hibernating
15823,373,1,15.00,"2010-12-02 15:08:00","2010-12-02 15:08:00",1,1,1,111,Hibernating
13307,121,1,15.00,"2011-08-11 17:14:00","2011-08-11 17:14:00",2,2,1,221,Hibernating
16093,107,1,17.00,"2011-08-25 11:09:00","2011-08-25 11:09:00",2,2,1,221,Hibernating
16953,31,1,20.80,"2011-11-09 15:54:00","2011-11-09 15:54:00",4,2,1,421,"New Customers"
17986,57,1,20.80,"2011-10-14 14:22:00","2011-10-14 14:22:00",3,2,1,321,"Needs Attention"
17102,262,1,25.50,"2011-03-23 10:08:00","2011-03-23 10:08:00",1,1,1,111,Hibernating
18268,135,1,25.50,"2011-07-28 19:13:00","2011-07-28 19:13:00",2,2,1,221,Hibernating
15657,23,1,30.00,"2011-11-17 12:19:00","2011-11-17 12:19:00",4,1,1,411,"New Customers"
13120,239,1,30.60,"2011-04-15 10:19:00","2011-04-15 10:19:00",1,1,1,111,Hibernating
17408,164,1,32.65,"2011-06-29 12:53:00","2011-06-29 12:53:00",2,1,1,211,Hibernating
16765,295,1,34.00,"2011-02-18 15:41:00","2011-02-18 15:41:00",1,1,1,111,Hibernating
15744,78,1,34.80,"2011-09-23 09:52:00","2011-09-23 09:52:00",2,2,1,221,Hibernating
14576,373,1,35.40,"2010-12-02 17:51:00","2010-12-02 17:51:00",1,1,1,111,Hibernating
16856,15,1,35.40,"2011-11-25 08:59:00","2011-11-25 08:59:00",4,1,1,411,"New Customers"
17831,34,1,35.40,"2011-11-06 15:09:00","2011-11-06 15:09:00",3,2,1,321,"Needs Attention"
15940,312,1,35.80,"2011-02-01 16:18:00","2011-02-01 16:18:00",1,1,1,111,Hibernating
17816,37,4,36.56,"2010-12-09 14:10:00","2011-11-03 11:34:00",3,4,1,341,"Loyal Customers"
16162,253,1,37.40,"2011-04-01 15:03:00","2011-04-01 15:03:00",1,1,1,111,Hibernating
12855,373,1,38.10,"2010-12-02 09:37:00","2010-12-02 09:37:00",1,1,1,111,Hibernating
18019,52,1,38.45,"2011-10-19 12:10:00","2011-10-19 12:10:00",3,2,1,321,"Needs Attention"
16659,190,1,39.12,"2011-06-03 15:03:00","2011-06-03 15:03:00",1,1,1,111,Hibernating
12977,157,1,39.24,"2011-07-06 16:40:00","2011-07-06 16:40:00",2,2,1,221,Hibernating
14589,372,1,39.75,"2010-12-03 11:42:00","2010-12-03 11:42:00",1,1,1,111,Hibernating
15178,261,1,40.50,"2011-03-24 15:12:00","2011-03-24 15:12:00",1,1,1,111,Hibernating
15992,4,1,41.99,"2011-12-06 11:00:00","2011-12-06 11:00:00",5,1,1,511,"New Customers"
14300,19,1,43.20,"2011-11-21 08:57:00","2011-11-21 08:57:00",4,1,1,411,"New Customers"
15423,39,1,43.50,"2011-11-01 14:01:00","2011-11-01 14:01:00",3,2,1,321,"Needs Attention"
14080,33,1,45.60,"2011-11-07 11:09:00","2011-11-07 11:09:00",4,2,1,421,"New Customers"
16257,177,1,46.95,"2011-06-16 10:11:00","2011-06-16 10:11:00",2,1,1,211,Hibernating
15603,79,1,48.48,"2011-09-22 10:04:00","2011-09-22 10:04:00",2,2,1,221,Hibernating
14821,367,1,48.80,"2010-12-08 08:43:00","2010-12-08 08:43:00",1,1,1,111,Hibernating
18184,16,1,49.80,"2011-11-24 15:28:00","2011-11-24 15:28:00",4,1,1,411,"New Customers"
13011,373,1,50.55,"2010-12-02 17:22:00","2010-12-02 17:22:00",1,1,1,111,Hibernating
14351,165,1,51.00,"2011-06-28 11:56:00","2011-06-28 11:56:00",2,1,1,211,Hibernating
17844,107,1,51.56,"2011-08-25 11:27:00","2011-08-25 11:27:00",2,2,1,221,Hibernating
15313,111,1,52.00,"2011-08-21 16:02:00","2011-08-21 16:02:00",2,2,1,221,Hibernating
14682,188,2,52.00,"2011-05-22 12:51:00","2011-06-05 12:12:00",1,3,1,131,"Cant Lose Them"
13832,20,1,52.20,"2011-11-20 15:36:00","2011-11-20 15:36:00",4,1,1,411,"New Customers"
14865,8,2,52.20,"2010-12-02 18:23:00","2011-12-02 16:25:00",5,2,1,521,"New Customers"
15504,82,1,52.83,"2011-09-19 13:45:00","2011-09-19 13:45:00",2,2,1,221,Hibernating
16349,291,1,53.50,"2011-02-22 12:40:00","2011-02-22 12:40:00",1,1,1,111,Hibernating
13366,51,1,56.16,"2011-10-20 13:37:00","2011-10-20 13:37:00",3,2,1,321,"Needs Attention"
